#Energy	dxy	dyz	dz2	dxz	dx2
-17.81393	-7.6E-4	-1E-5	-8.2E-4	-1E-5	-0.00143
-17.80293	-4.8E-4	-1E-5	-6.9E-4	-1E-5	-9.1E-4
-17.79193	-2.9E-4	0	-7.1E-4	-1E-5	-5.5E-4
-17.78093	-1.8E-4	0	-8.4E-4	0	-3.3E-4
-17.76993	-1.1E-4	0	-0.00104	0	-2.1E-4
-17.75993	-8E-5	0	-0.00124	0	-1.6E-4
-17.74893	-8E-5	0	-0.0014	0	-1.5E-4
-17.73793	-1E-4	0	-0.00149	0	-1.8E-4
-17.72693	-1.3E-4	0	-0.00147	0	-2.2E-4
-17.71693	-1.6E-4	0	-0.00137	0	-2.7E-4
-17.70593	-1.8E-4	0	-0.0012	0	-3.2E-4
-17.69493	-2E-4	0	-0.001	0	-3.4E-4
-17.68393	-2E-4	0	-8E-4	0	-3.4E-4
-17.67293	-1.8E-4	0	-6.1E-4	0	-3.2E-4
-17.66293	-1.6E-4	0	-4.5E-4	0	-2.8E-4
-17.65193	-1.4E-4	0	-3.3E-4	0	-2.4E-4
-17.64093	-1.2E-4	0	-2.4E-4	0	-2E-4
-17.62993	-1E-4	0	-1.8E-4	0	-1.8E-4
-17.61893	-9E-5	0	-1.4E-4	0	-1.6E-4
-17.60893	-8E-5	0	-1.3E-4	0	-1.5E-4
-17.59793	-8E-5	0	-1.3E-4	0	-1.4E-4
-17.58693	-7E-5	0	-1.3E-4	0	-1.2E-4
-17.57593	-6E-5	0	-1.3E-4	0	-1.1E-4
-17.56493	-5E-5	0	-1.3E-4	0	-9E-5
-17.55493	-4E-5	-1E-5	-1.2E-4	0	-7E-5
-17.54393	-3E-5	-1E-5	-1E-4	-1E-5	-6E-5
-17.53293	-2E-5	-1E-5	-9E-5	-1E-5	-4E-5
-17.52193	-2E-5	-1E-5	-7E-5	-1E-5	-4E-5
-17.51193	-1E-5	-1E-5	-5E-5	-1E-5	-3E-5
-17.50093	-1E-5	0	-3E-5	0	-2E-5
-17.48993	-1E-5	0	-2E-5	0	-2E-5
-17.47893	0	0	-2E-5	0	-1E-5
-17.46793	0	0	-2E-5	0	-1E-5
-17.45793	0	0	-2E-5	0	0
-17.44693	0	0	-2E-5	0	0
-17.43593	0	0	-3E-5	0	0
-17.42493	0	0	-3E-5	0	-1E-5
-17.41393	0	0	-4E-5	0	-1E-5
-17.40393	-1E-5	0	-4E-5	0	-1E-5
-17.39293	-1E-5	0	-4E-5	0	-1E-5
-17.38193	-1E-5	0	-4E-5	0	-1E-5
-17.37093	-1E-5	0	-4E-5	0	-1E-5
-17.35993	-1E-5	0	-4E-5	0	-1E-5
-17.34993	0	0	-4E-5	0	-1E-5
-17.33893	0	0	-4E-5	0	-1E-5
-17.32793	0	0	-4E-5	0	-1E-5
-17.31693	0	0	-4E-5	0	0
-17.30693	0	0	-3E-5	0	0
-17.29593	0	0	-3E-5	0	0
-17.28493	0	0	-3E-5	0	0
-17.27393	0	0	-2E-5	0	0
-17.26293	0	0	-1E-5	0	0
-17.25293	0	0	-1E-5	0	0
-17.24193	0	0	-1E-5	0	0
-17.23093	0	0	0	0	0
-17.21993	0	0	0	0	0
-17.20893	0	0	0	0	0
-17.19893	0	0	0	0	0
-17.18793	0	0	0	0	0
-17.17693	0	0	0	0	0
-17.16593	0	0	0	0	0
-17.15493	0	0	0	0	0
-17.14493	0	0	0	0	0
-17.13393	0	0	0	0	0
-17.12293	0	0	0	0	0
-17.11193	0	0	0	0	0
-17.10193	0	0	0	0	0
-17.09093	0	0	0	0	0
-17.07993	0	0	0	0	0
-17.06893	0	0	0	0	0
-17.05793	0	0	0	0	0
-17.04793	0	0	0	0	0
-17.03693	0	0	0	0	0
-17.02593	0	0	0	0	0
-17.01493	0	0	0	0	0
-17.00393	0	0	0	0	0
-16.99393	0	0	0	0	0
-16.98293	0	0	0	0	0
-16.97193	0	0	0	0	0
-16.96093	0	0	0	0	0
-16.94993	0	0	0	0	0
-16.93993	0	0	0	0	0
-16.92893	0	0	0	0	0
-16.91793	0	0	0	0	0
-16.90693	0	0	0	0	0
-16.89693	0	0	0	0	0
-16.88593	0	0	0	0	0
-16.87493	0	0	0	0	0
-16.86393	0	0	0	0	0
-16.85293	0	0	0	0	0
-16.84293	0	0	0	0	0
-16.83193	0	0	0	0	0
-16.82093	0	0	0	0	0
-16.80993	0	0	0	0	0
-16.79893	0	0	0	0	0
-16.78893	0	0	0	0	0
-16.77793	0	0	0	0	0
-16.76693	0	0	0	0	0
-16.75593	0	0	0	0	0
-16.74493	0	0	0	0	0
-16.73493	0	0	0	0	0
-16.72393	0	0	0	0	0
-16.71293	0	0	0	0	0
