#Energy	pz
-15.88193	-7E-5
-15.87193	-1.4E-4
-15.86093	-2.4E-4
-15.84993	-3.7E-4
-15.83893	-5.4E-4
-15.82793	-7.1E-4
-15.81793	-8.4E-4
-15.80693	-9.2E-4
-15.79593	-9.2E-4
-15.78493	-8.3E-4
-15.77393	-6.9E-4
-15.76393	-5.2E-4
-15.75293	-3.5E-4
-15.74193	-2.2E-4
-15.73093	-1.3E-4
-15.71993	-7E-5
-15.70993	-3E-5
-15.69893	-1E-5
-15.68793	-1E-5
-15.67693	-1E-5
-15.66693	-2E-5
-15.65593	-6E-5
-15.64493	-1.4E-4
-15.63393	-3E-4
-15.62293	-6.2E-4
-15.61293	-0.00115
-15.60193	-0.00198
-15.59093	-0.00314
-15.57993	-0.00461
-15.56893	-0.00629
-15.55893	-0.00799
-15.54793	-0.00945
-15.53693	-0.01042
-15.52593	-0.01072
-15.51493	-0.01028
-15.50493	-0.00921
-15.49393	-0.00777
-15.48293	-0.00633
-15.47193	-0.00525
-15.46193	-0.00483
-15.45093	-0.0052
-15.43993	-0.00628
-15.42893	-0.00778
-15.41793	-0.00929
-15.40793	-0.01036
-15.39693	-0.01067
-15.38593	-0.01014
-15.37493	-0.00896
-15.36393	-0.00744
-15.35393	-0.00593
-15.34293	-0.00464
-15.33193	-0.00365
-15.32093	-0.00291
-15.30993	-0.00231
-15.29993	-0.00178
-15.28893	-0.00131
-15.27793	-9E-4
-15.26693	-5.7E-4
-15.25693	-3.4E-4
-15.24593	-1.8E-4
-15.23493	-9E-5
-15.22393	-4E-5
-15.21293	-2E-5
-15.20293	-1E-5
-15.19193	0
-15.18093	0
-15.16993	0
-15.15893	0
-15.14893	0
-15.13793	0
-15.12693	0
-15.11593	0
-15.10593	0
-15.09493	0
-15.08393	0
-15.07293	0
-15.06193	0
-15.05193	0
-15.04093	0
-15.02993	0
-15.01893	0
-15.00793	0
-14.99793	0
-14.98693	0
-14.97593	0
-14.96493	0
-14.95393	0
-14.94393	0
-14.93293	0
-14.92193	0
-14.91093	0
-14.90093	0
-14.88993	0
-14.87893	0
-14.86793	0
-14.85693	0
-14.84693	0
-14.83593	0
-14.82493	0
-14.81393	0
-14.80293	0
-14.79293	0
-14.78193	0
-14.77093	0
-14.75993	0
-14.74893	0
-14.73893	0
-14.72793	0
-14.71693	0
-14.70593	0
-14.69593	0
-14.68493	0
-14.67393	0
-14.66293	0
-14.65193	0
-14.64193	0
-14.63093	0
-14.61993	0
-14.60893	0
-14.59793	0
-14.58793	0
-14.57693	0
-14.56593	0
-14.55493	0
-14.54393	0
-14.53393	0
-14.52293	0
-14.51193	0
-14.50093	-1E-5
-14.49093	-2E-5
-14.47993	-5E-5
-14.46893	-1E-4
-14.45793	-2.2E-4
-14.44693	-4.2E-4
-14.43693	-7.2E-4
-14.42593	-0.00114
-14.41493	-0.00164
-14.40393	-0.00215
-14.39293	-0.00257
-14.38293	-0.0028
-14.37193	-0.00279
-14.36093	-0.00253
-14.34993	-0.00209
-14.33893	-0.00158
-14.32893	-0.00109
-14.31793	-6.8E-4
-14.30693	-3.9E-4
-14.29593	-2E-4
-14.28593	-1E-4
-14.27493	-4E-5
-14.26393	-2E-5
-14.25293	-1E-5
-14.24193	0
-14.23193	0
-14.22093	0
-14.20993	0
-14.19893	0
-14.18793	0
-14.17793	0
-14.16693	0
-14.15593	0
-14.14493	0
-14.13393	0
-14.12393	0
-14.11293	0
-14.10193	0
-14.09093	0
-14.08093	0
-14.06993	0
-14.05893	0
-14.04793	0
-14.03693	0
-14.02693	0
-14.01593	0
-14.00493	0
-13.99393	0
-13.98293	0
-13.97293	0
-13.96193	0
-13.95093	0
-13.93993	0
-13.92893	0
-13.91893	0
-13.90793	0
-13.89693	0
-13.88593	0
-13.87593	0
-13.86493	0
-13.85393	0
-13.84293	0
-13.83193	-1E-5
-13.82193	-2E-5
-13.81093	-5E-5
-13.79993	-1.1E-4
-13.78893	-2.5E-4
-13.77793	-4.9E-4
-13.76793	-8.9E-4
-13.75693	-0.00148
-13.74593	-0.00225
-13.73493	-0.0031
-13.72393	-0.0039
-13.71393	-0.00448
-13.70293	-0.00469
-13.69193	-0.00447
-13.68093	-0.00389
-13.67093	-0.00308
-13.65993	-0.00223
-13.64893	-0.00147
-13.63793	-8.8E-4
-13.62693	-4.8E-4
-13.61693	-2.4E-4
-13.60593	-1.1E-4
-13.59493	-5E-5
-13.58393	-2E-5
-13.57293	-1E-5
-13.56293	0
-13.55193	0
-13.54093	0
-13.52993	0
-13.51893	0
-13.50893	0
-13.49793	0
-13.48693	0
-13.47593	0
-13.46593	0
-13.45493	0
-13.44393	0
-13.43293	0
-13.42193	0
-13.41193	0
-13.40093	0
-13.38993	0
-13.37893	0
-13.36793	0
-13.35793	0
-13.34693	0
-13.33593	0
-13.32493	0
-13.31393	0
-13.30393	0
-13.29293	0
-13.28193	0
-13.27093	0
-13.26093	0
-13.24993	0
-13.23893	0
-13.22793	0
-13.21693	0
-13.20693	0
-13.19593	0
-13.18493	0
-13.17393	0
-13.16293	0
-13.15293	0
-13.14193	0
-13.13093	0
-13.11993	0
-13.10893	0
-13.09893	0
-13.08793	0
-13.07693	0
-13.06593	0
-13.05593	0
-13.04493	0
-13.03393	0
-13.02293	0
-13.01193	0
-13.00193	0
-12.99093	0
-12.97993	0
-12.96893	0
-12.95793	0
-12.94793	0
-12.93693	0
-12.92593	0
-12.91493	0
-12.90393	0
-12.89393	0
-12.88293	0
-12.87193	0
-12.86093	0
-12.85093	0
-12.83993	0
-12.82893	0
-12.81793	0
-12.80693	0
-12.79693	0
